timestamp,flare_flux,mag_jerk,carbon_density_proxy,outcome_metric,R_functional,outcome_lagged
2025-01-02 21:20:52.680662,1.071702014074578e-05,5.330724236313574,75.0,1.0678752896788788e+18,320007004.00138456,1.5611673772711158e+18
2025-01-02 22:20:52.680662,-5.198837641034815e-06,5.574177935114918,75.0,2.064637994651919e+18,349903819.0589892,5.055392041156538e+18
2025-01-02 23:20:52.680662,-4.971525246878865e-06,4.888704771233511,75.0,2.5488513188119424e+18,269137768.50370246,2.2202269608746616e+18
2025-01-03 00:20:52.680662,-1.642492059354818e-06,5.690121848197707,75.0,3.024646201125348e+18,364611334.2690054,3.886071434818899e+18
2025-01-03 01:20:52.680662,2.780171059427888e-06,4.929076838902789,75.0,-1.6210500956792453e+18,273601337.4079394,3.075682798606709e+18
2025-01-03 02:20:52.680662,-5.100869421982445e-07,6.184046780098001,75.0,1.5611673772711158e+18,430658046.48008734,5.344053285412895e+18
2025-01-03 03:20:52.680662,-1.3423483126254069e-05,4.932090499452187,75.0,5.055392041156538e+18,273935983.6986285,2.822124753058955e+18
2025-01-03 04:20:52.680662,1.1430032855085312e-05,5.3767306096931,75.0,2.2202269608746616e+18,325554427.8402479,3.1841307479354435e+18
2025-01-03 05:20:52.680662,7.647394154376972e-06,4.619127263564929,75.0,3.886071434818899e+18,240274070.2899577,-2.2015428394708836e+18
2025-01-03 06:20:52.680662,2.004968073118135e-05,5.543755372118081,75.0,3.075682798606709e+18,346094883.2303622,5.031536637227378e+18
2025-01-03 07:20:52.680662,7.941487679071e-06,5.50001898594297,75.0,5.344053285412895e+18,340655513.962634,1.8603517930728668e+18
2025-01-03 08:20:52.680662,9.678529248065364e-06,3.857557416826377,75.0,2.822124753058955e+18,167576015.67528284,-2.0544542631228768e+17
2025-01-03 09:20:52.680662,2.333068842767163e-06,4.9657609842460575,75.0,3.1841307479354435e+18,277688990.83296466,2.2413750315828096e+18
2025-01-03 10:20:52.680662,2.0568916327937343e-05,5.292811811833239,75.0,-2.2015428394708836e+18,315471384.37357074,5.775505139884394e+18
2025-01-03 11:20:52.680662,-3.5111854268421488e-06,4.626307899742378,75.0,5.031536637227378e+18,241021671.53265977,2.080991123010387e+18
2025-01-03 12:20:52.680662,2.1209009217694543e-05,4.178797683519504,75.0,1.8603517930728668e+18,196648110.36811826,4.735667494518903e+18
2025-01-03 13:20:52.680662,1.895960660773207e-05,5.020283007308565,75.0,-2.0544542631228768e+17,283820308.21432203,1.232406158511415e+18
2025-01-03 14:20:52.680662,1.3569162944991062e-05,5.216463610300399,75.0,2.2413750315828096e+18,306435742.73090726,7.624193724560219e+17
2025-01-03 15:20:52.680662,1.8851620134009512e-05,4.057478338638468,75.0,5.775505139884394e+18,185395634.61354053,3.697383726066792e+18
2025-01-03 16:20:52.680662,2.9939096690484425e-05,4.832858715870125,75.0,2.080991123010387e+18,263023945.51206645,1.8229606818250545e+18
2025-01-03 17:20:52.680662,2.4155921055752645e-05,4.473572555029842,75.0,4.735667494518903e+18,225369975.45842725,4.289882907191201e+18
2025-01-03 18:20:52.680662,1.0522137528286812e-05,4.356103332093387,75.0,1.232406158511415e+18,213689609.1451448,1.1215388651885786e+18
2025-01-03 19:20:52.680662,3.900395825741972e-05,4.986526563120539,75.0,7.624193724560219e+17,280016340.82322705,3.3385473460375526e+18
2025-01-03 20:20:52.680662,2.334922497250032e-05,5.063767291586317,75.0,3.697383726066792e+18,288758350.43087757,4.73843827022404e+18
2025-01-03 21:20:52.680662,3.1584404859720985e-05,4.471418155541823,75.0,1.8229606818250545e+18,225152967.1188009,1.9814397674328456e+18
2025-01-03 22:20:52.680662,1.8309441941753e-05,5.802098500215753,75.0,4.289882907191201e+18,379103027.44538385,6.577356628205992e+18
2025-01-03 23:20:52.680662,6.255745786581342e-06,4.7755471481051295,75.0,1.1215388651885786e+18,256822648.52871186,4.2492465797875206e+17
2025-01-04 00:20:52.680662,3.64083595818491e-05,3.888863410417899,75.0,3.3385473460375526e+18,170307007.49688163,5.581887480137995e+17
2025-01-04 01:20:52.680662,4.524678718739849e-05,4.676743810660443,75.0,4.73843827022404e+18,246305599.045377,-5.279991374572451e+17
2025-01-04 02:20:52.680662,2.3078963747674715e-05,4.62600080251422,75.0,1.9814397674328456e+18,240989704.19773176,1.3126588070309243e+18
2025-01-04 03:20:52.680662,2.1051443110226583e-05,4.826114334511593,75.0,6.577356628205992e+18,262290334.1770562,2.1905469396875064e+18
2025-01-04 04:20:52.680662,3.277196313379925e-05,4.760955495529259,75.0,4.2492465797875206e+17,255255636.34692073,4.307174780433104e+18
2025-01-04 05:20:52.680662,3.380136811138398e-05,4.454991907884095,75.0,5.581887480137995e+17,223501759.90371144,2.9779404636386724e+18
2025-01-04 06:20:52.680662,4.153357401652237e-05,4.541939825668098,75.0,-5.279991374572451e+17,232311053.30346116,2.501925010126992e+18
2025-01-04 07:20:52.680662,3.947970614484304e-05,4.448312694558473,75.0,1.3126588070309243e+18,222832092.07816073,3.807893107531316e+18
2025-01-04 08:20:52.680662,4.209269638041583e-05,4.8084687912012045,75.0,2.1905469396875064e+18,260375859.51830643,3.6839430226978345e+18
